"Year","Month","State","Primary Mode","Etiology","Serotype or Genotype","Etiology Status","Setting","Illnesses","Hospitalizations","Info On Hospitalizations","Deaths","Info On Deaths","Food Vehicle","Food Contaminated Ingredient","IFSAC Category","Water Exposure","Water Type","Animal Type"
"1975","4","Indiana","Water","Unknown",,"Suspected","Community/municipality","1,400",,,"0",,,,,"Drinking water","Community",
"1975","4","New Jersey","Water","Unknown",,"Suspected","School/college/university","350",,,"0",,,,,"Drinking water","Community",
"1975","5","California","Water","Unknown",,"Suspected","Camp/cabin","80",,,"0",,,,,"Drinking water","Other",
"1975","5","Ohio","Water","Unknown",,"Suspected","Hotel/motel","140",,,"0",,,,,"Drinking water","Other",
"1975","5","Louisiana","Water","Oil",,"Confirmed","Factory/industrial facility","26",,,"0",,,,,"Drinking water","Other",
"1975","6","Oregon","Water","Escherichia coli, Enterotoxigenic","O6:H16","Confirmed","Park - National Park","1,000",,,"0",,,,,"Drinking water","Other",
"1975","6","California","Water","Unknown",,"Suspected","Resort","900",,,"0",,,,,"Drinking water","Other",
"1975","6","Arkansas","Water","Unknown",,"Suspected","Camp/cabin","500",,,"0",,,,,"Drinking water","Other",
"1975","6","New Jersey","Water","herbicide",,"Confirmed","Private home/residence","4",,,"0",,,,,"Drinking water","Community",
"1975","6","Minnesota","Water","Unknown",,"Suspected","Camp/cabin","136",,,"0",,,,,"Drinking water","Other",
"1975","7","Tennessee","Water","Unknown",,"Suspected","Camp/cabin","40",,,"0",,,,,"Drinking water","Other",
"1975","7","California","Water","Unknown",,"Suspected","Camp/cabin","19",,,"0",,,,,"Drinking water","Other",
"1975","7","Pennsylvania","Water","Unknown",,"Suspected","Camp/cabin","88",,,"0",,,,,"Drinking water","Other",
"1975","8","Kansas","Water","Legionella unknown",,"Confirmed","Hospital","3",,,"3",,,,,"Undetermined water",,
"1975","8","Arkansas","Water","Unknown",,"Suspected","Hotel/motel","23",,,"0",,,,,"Drinking water","Other",
"1975","8","Pennsylvania","Water","Unknown",,"Suspected","Community/municipality","5,000",,,"0",,,,,"Drinking water","Community",
"1975","8","Pennsylvania","Water","Unknown",,"Suspected","Restaurant","37",,,"0",,,,,"Drinking water","Other",
"1975","8","Montana","Water","Shigella sonnei",,"Confirmed","Camp/cabin","56",,,"0",,,,,"Drinking water","Other",
"1975","9","Louisiana","Water","Copper",,"Confirmed","School/college/university","30",,,"0",,,,,"Drinking water","Other",
"1975","9","Idaho","Water","Giardia duodenalis",,"Confirmed","Unknown","9",,,"0",,,,,"Other/Environmental water",,
"1975","9","Oregon","Water","Unknown",,"Suspected","Unknown","7",,,"0",,,,,"Drinking water","Other",
"1975","10","Pennsylvania","Water","Unknown",,"Suspected","Hall/Meeting Facility","100",,,"0",,,,,"Drinking water","Other",
"1975","10","South Carolina","Water","ethyl acrylate",,"Confirmed","Community/municipality","7",,,"0",,,,,"Drinking water","Community",
"1976","2","Colorado","Water","Giardia duodenalis",,"Confirmed","Resort","12",,,"0",,,,,"Drinking water","Other",
"1976","2","Vermont","Water","Unknown",,"Suspected","Hotel/motel","150",,,"0",,,,,"Drinking water","Community",
"1976","3","New York","Water","Salmonella unknown",,"Confirmed","Resort","750",,,"0",,,,,"Drinking water","Community",
"1976","3","Tennessee","Water","Chlordane",,"Confirmed","Community/municipality","13",,,"0",,,,,"Drinking water","Community",
"1976","4","Oklahoma","Water","Unknown",,"Suspected","School/college/university","65",,,"0",,,,,"Drinking water","Other",
